http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8062_2	BEER, NON-ALCOHOLIC (0.3 - 0.5% vol)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=609024_2	BEER, STOUT (5.3 - 6.0 % vol)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8060_2	BEER, STOUT DOUBLE MALT (6.4 - 15.0 % vol)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=9053_2	BEER, unspecified
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=306_1	BEETROOT
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=81_1	BISCUITS or COOKIES, "SAVOIARDO"
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=71_1	BISCUITS or COOKIES, babyfood
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=10098_1	BISCUITS or COOKIES, coated with chocolate
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=450085_1	BISCUITS or COOKIES, plain
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=70_1	BISCUITS or COOKIES, semi-sweet
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=80_1	BISCUITS or COOKIES, wafers
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=701307_1	BISCUITS or COOKIES, wholemeal
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100144_1	BISCUITS or COOKIES, with butter
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100221_1	BISCUITS or COOKIES, with milk
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8061_2	BITTER
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100184_2	BLACKBERRIES
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=500025_2	BLACKCURRANTS
